"Severity","ThreadID","Date","Time","Context","Application","Message"
"INFO","http-nio-8888-exec-2","02/20/2026","11:17:44","http://localhost:8888","","hello"
"INFO","http-nio-8888-exec-1","02/20/2026","11:17:45","http://localhost:8888","","hello"
"INFO","http-nio-8888-exec-6","02/20/2026","11:17:45","http://localhost:8888","","hello"
"INFO","http-nio-8888-exec-10","02/20/2026","11:17:45","http://localhost:8888","","hello"
"INFO","http-nio-8888-exec-3","02/20/2026","11:17:46","http://localhost:8888","","hello"
"INFO","http-nio-8888-exec-2","02/20/2026","11:31:45","http://localhost:8888","Assignment7App","hello"
"INFO","http-nio-8888-exec-9","02/20/2026","11:35:27","http://localhost:8888","Assignment7App","{ts '2026-02-20 11:35:27'} , Division by zero is not possible , "
"INFO","http-nio-8888-exec-5","02/20/2026","11:35:27","http://localhost:8888","Assignment7App","{ts '2026-02-20 11:35:27'} , Division by zero is not possible , "
"INFO","http-nio-8888-exec-9","02/20/2026","11:39:30","http://localhost:8888","Assignment7App","{ts '2026-02-20 11:39:30'} , Division by zero is not possible , "
"INFO","http-nio-8888-exec-5","02/20/2026","11:45:07","http://localhost:8888","Assignment7App","{ts '2026-02-20 11:45:07'} , variable [THIS] doesn't exist , "
"INFO","http-nio-8888-exec-7","02/20/2026","11:46:07","http://localhost:8888","Assignment7App","{ts '2026-02-20 11:46:07'} , variable [THIS] doesn't exist , "
"INFO","http-nio-8888-exec-1","02/20/2026","11:46:49","http://localhost:8888","Assignment7App","{ts '2026-02-20 11:46:49'} , key [NAME] doesn't exist , "
"INFO","http-nio-8888-exec-2","02/20/2026","11:46:50","http://localhost:8888","Assignment7App","{ts '2026-02-20 11:46:50'} , key [NAME] doesn't exist , "
"INFO","http-nio-8888-exec-5","02/20/2026","11:46:50","http://localhost:8888","Assignment7App","{ts '2026-02-20 11:46:50'} , key [NAME] doesn't exist , "
"INFO","http-nio-8888-exec-8","02/20/2026","11:46:50","http://localhost:8888","Assignment7App","{ts '2026-02-20 11:46:50'} , key [NAME] doesn't exist , "
"INFO","http-nio-8888-exec-1","02/20/2026","11:54:37","http://localhost:8888","Assignment7App","{ts '2026-02-20 11:54:37'} , invalid component definition, can't find component [components.FileService] , "
"INFO","http-nio-8888-exec-8","02/20/2026","11:56:29","http://localhost:8888","Assignment7App","{ts '2026-02-20 11:56:29'} , invalid component definition, can't find component [components.File] , "
"INFO","http-nio-8888-exec-7","02/20/2026","11:57:17","http://localhost:8888","Assignment7App","{ts '2026-02-20 11:57:17'} , invalid component definition, can't find component [components.File] , "
"INFO","http-nio-8888-exec-2","02/20/2026","12:00:35","http://localhost:8888","Assignment7App","{ts '2026-02-20 12:00:35'} , invalid component definition, can't find component [components.File] , "
"INFO","http-nio-8888-exec-6","02/20/2026","12:01:10","http://localhost:8888","Assignment7App","{ts '2026-02-20 12:01:10'} , invalid component definition, can't find component [components.File] , "
"INFO","http-nio-8888-exec-4","02/20/2026","12:03:10","http://localhost:8888","Assignment7App","{ts '2026-02-20 12:03:10'} , invalid component definition, can't find component [components.File] , "
"INFO","http-nio-8888-exec-3","02/20/2026","12:12:33","http://localhost:8888","Assignment7App","{ts '2026-02-20 12:12:33'} , Upload Error , key [UPLOADPATH] doesn't exist"
